bvid,ctime,like,uname,message,rcount,data_source,sent_score,sentiment,intent,quality
BV11qTC6HEvA,1783269643,1583,西可西可,"🔮🔮🔮梓渝你好，转眼认识你已经一年多，去年为了看你的生日直播回到微博，又因为你的鲜活和勇敢留下。
大众常认为，偶像应该感恩粉丝，但是喜欢你的这一年中，我感觉自己获得的更多。我总感觉自己的人生缺少爱，也许这并不是事实，而是我想象力的匮乏，以及对“爱”这个字的狭义理解，但是从你身上我理解了粉丝与偶像的关系，也许不是之前理解的简单的崇拜与被崇拜，而是关于爱的叙事。它发生在刹那间，像火光，悉心照料之后，就会增长，就像火苗点燃为热焰。粉丝对偶像的呵护托举，是一种能够体现存在价值的爱的实践。
接下来的日子，愿你拥有永不熄灭的勇气，我也会悉心照料对你爱的火苗。
最后，我想对24岁的梓渝说，世界是你的牡蛎，请以利剑开启。前路也许又美好也有困难，但山海皆可闯，所有美好，皆由自己亲手展开。",24,real,1.0,正,建议,1.0
BV11qTC6HEvA,1783269952,1513,四年魂兽小花狗,🔮24岁的梓渝生日快乐！从低谷到巅峰，你用坚韧书写奇迹🎂。梓渝粉丝YUNI全肯定你的善良与担当，愿新的一岁万事胜意，我们会一直做你最坚定的支持者你最坚定的支持者💙,29,real,0.999999869524478,正,陈述,1.0
BV11qTC6HEvA,1783273403,698,applemangolitchi,小鱼宝贝🔮！24岁生日快乐！虽然一直说希望你对自己不要太苛刻，但是我们都知道你是一个喜欢严格要求自己的人。所以，在这里就真心祝福你未来的日子里，都能实现心中所想，达成所愿，做更好的自己！,14,real,0.9999999679021511,正,提问,0.974
BV11qTC6HEvA,1783269080,1029,路过一只大番茄,🔮🔮世界赠你风雨也赠你晴空，而我们赠你始终如一的守候。梓渝，24岁生日快乐。新岁启程，去成为更喜欢的自己，不必回头。,9,real,0.9999950831651867,正,陈述,1.0
BV11qTC6HEvA,1783269771,1016,无助壶壶,🔮梓渝宝贝，24岁生日快乐呀，今天是我认识你的第382天，也是我喜欢上你的第379天，时间真的过得好快呀，感觉一眨眼我已经是第二次陪你过生日啦，去年今天，我也守在屏幕前，陪着青涩懵懂的你迎接23岁生辰，你眼含热泪，我亦同你一同落泪。就在那一天，我真切触碰到我们之间紧紧相连的羁绊。你总说眼下拥有的一切像梦一样，那我们便携手，把这场美梦镌刻为现实。小鱼呀，这一路我们共历万般跌宕，一同挣脱泥泞，涉过浅溪、长河，翻越层叠山峦，终于奔赴到这片澄澈辽阔的碧海。你是无拘无束的游鱼，世界是你的海洋。往后我们要将梦境铺展得更加盛大无垠，整片浩瀚宇宙，都是你的无垠海域,26,real,1.0,正,陈述,1.0
BV11qTC6HEvA,1783269006,1075,ビュビュ,💙🔮💙梓渝生日快乐💙🔮💙这是你的二十四岁🔮~💙🔮💙也是YUNI和你跨入的新的一年💙🔮💙祝你事事如愿🔮~💙🔮💙身体健康💙🔮💙每天都有好心情🔮~💙🔮💙我们永远在你的身后💙🔮💙做你脚下的浪花🔮~💙🔮💙推着你💙🔮💙向更广阔的海,15,real,0.9999990611184562,正,陈述,1.0
BV11qTC6HEvA,1783270102,1068,我与羲和z,"🔮致梓渝：
盛夏赴约，迎来属于你的0706。新的24岁，愿你永远被爱意包裹，前路满是鲜花与掌声。保持热爱，自在发光，每一岁都奔走在自己的热爱里，平安喜乐万事顺心。",6,real,0.9998222733671479,正,陈述,1.0
BV11qTC6HEvA,1783350204,136,绿林好虾,🔮小渝你真的好好啊，说练好了给我们展示，就立马找机会给我们展示[委屈]，我们口嗨说想看你光膀子打架子鼓，就真的发给我们看，明明是你的生日，但你会满足我们的愿望，真的很开心！看到你有在好好学习，工作，生活真的无比的安心与欣慰，祝你24岁生日快乐！希望你健康顺遂，岁岁无忧！,0,real,0.9999999394305238,正,建议,0.856
BV11qTC6HEvA,1783271316,563,Stamp_-,"🔮哥哥，不知不觉我喜欢你一年多了诶，真的感觉时间过得好快，还记得我是因为你的可爱外表吸引我，后来深入了解你后才真正粉上你，我从6.23开始喜欢你，到现在从未动摇过喜欢你的真心，人生悠悠二十载，回首发现我真的从未对一个人这样上心过，为了你我学会数据，披上军装，也让我这个铁公鸡把自己的毛扒光了，我想用尽我的方式去爱你、去托举你，但我的目的也就只有希望你幸福，仅此而已，我的力量微弱，是众多YUNI中很渺小的一个，但我知道你会感谢我们每一个人，我从你身上看到了满满的真心，所以我很愿意将我的真心也捧给你🤲
人们总说偶像应该感谢粉丝，没有粉丝哪会有如今的偶像，你好像也这么认为，就像你的歌词一样“我知道因为你们，我才终于成为自己”，但我认为不是这样，我希望你不要过于感谢我们，是我应该感谢你。谢谢你的坚决，谢谢你的不服输，谢谢你一往无前的勇气，谢谢你愿意走来我的面前，谢谢你郑朋，谢谢你成为梓渝，是因为你成为了梓渝，我们才成为助力你攀爬的云梯。
“爱”这个词很珍重，但我会每天对你说至少两次，不是流于表面形式上的“爱”，是我真的很珍重你，很爱你，喜欢你的这一年我很幸福，我从你身上汲取到了力量，令我在昏暗的人生中也有了闪闪星光，你就像星星那般闪耀，照亮我的人生，从去年六月份开始，我们命运的齿轮就在转动了，我不是一个会说永远的人，我可以肯定，我会喜欢你很久很久，可能会久到我也想不到呢。
一年的时间，我见证了你从音乐节到演唱会的路途，看到了你的进步，最初看到远离舞台很久的你第一次站上音乐节舞台时，我在心里为你捏了把杆汗，但你做的很好，并且在音乐节路途里不断进步，这些大家都有目共睹，还有演唱会，我坚信你能做到，当然你做到了甚至更好，还记得看到纪录片里你一遍遍地练习，私下里这样的日子应该是日常吧，你对舞台很负责，并且我看到了你不想辜负大家的真心，你就是这个这么好的人，世界很大，不同的声音也很多，我希望你可以呆在自己的世界里坚守自己！世界是你的海洋，任你肆意流淌！
生日快乐，你好啊24岁的梓渝！💙",10,real,1.0,正,建议,0.958
BV11qTC6HEvA,1783270948,442,涵系酱,🔮郑朋0706生日快乐！！！崽崽天天开心万事如意心想事成平平安安健健康康快快乐乐每一天！谢谢你宝贝儿！我们朋朋最帅最美萌最聪明最棒啦！我们朋朋值得最好的一切！,9,real,0.9999999999999434,正,夸奖,0.941
BV1yFTR6jEbV,1783339739,240,淡云含寒烟,我可以这个主播的马叫评个8.6分，因为看了主播有1.4了[doge],1,real,0.05316244429786343,负,陈述,0.897
BV1yFTR6jEbV,1783348248,450,朝雨有始无终,想马叫就马叫呗，还去考了771找借口糊弄我[doge],1,real,0.27601841500079083,负,陈述,0.892
BV1yFTR6jEbV,1783335360,443,林凡家的小朋友,堪比之前马叫一个小时,1,real,0.6554464329075244,正,陈述,0.608
BV1yFTR6jEbV,1783365656,563,lvgu木可,其实这是系统任务，马叫多少次才能考多少分,3,real,0.48160550718679374,中,陈述,0.792
BV1yFTR6jEbV,1783430147,21,-kagami-,我特么看了43分钟的人类马叫,0,real,0.978235127408514,正,陈述,0.457
BV1yFTR6jEbV,1783420482,6212,马来西亚哥布林厨师长,兄弟你火到外网去了[大笑][大笑][大笑],13,real,0.696801451600597,正,陈述,0.85
BV1yFTR6jEbV,1783378894,1993,bili_81432351923,[doge],13,real,0.5,中,陈述,0.6
BV1yFTR6jEbV,1783428747,833,墨言0426,其实这个颜值能吊打很多人了偏要学马叫_(:з」∠)_,6,real,0.5806492280066732,中,陈述,0.92
BV1yFTR6jEbV,1783353364,2506,源釰,一想到母校即将迎来一个动物园[doge],25,real,0.8064095823070571,正,陈述,0.833
BV1yFTR6jEbV,1783336141,946,帮树治并鸟鸟,唉，这种考场马场双得意的人最阴了[颂乐人偶_眯眼笑][颂乐人偶_眯眼笑][颂乐人偶_眯眼笑],1,real,0.9963424844188637,正,陈述,0.996
BV18HTD61EXk,1783329507,174,很好__保持住,一个游戏公测评论区游戏相关只有ID，可想而知这个游戏有多烂了,1,real,0.8144378003830669,正,吐槽,0.874
BV18HTD61EXk,1783339915,119,人世间过往的尘沙,买了播放量却没买评论数吗[doge],2,real,0.4073421165262755,中,陈述,0.646
BV18HTD61EXk,1783399062,25,天堂福音,预言阴兵借道，高开低走,1,real,0.6238697455946984,正,陈述,0.419
BV18HTD61EXk,1783311533,52,VITIKA交友日记,请这些大咖也掩盖不了游戏无聊的事实🫢,3,real,0.08138762331809901,负,陈述,0.587
BV18HTD61EXk,1783343511,108,魔小一oo,就凭这些花里胡哨的宣传，游戏宣传没游戏内容，大概率就是运营重于内涵的了,3,real,0.04838945299949127,负,陈述,0.84
BV18HTD61EXk,1783311654,26,黑眼圈算符,当一个游戏质量不行的时候，就会企图用明星带动宣传,0,real,0.2499815653268186,负,吐槽,0.639
BV18HTD61EXk,1783311936,331,武陵管代庄天师,😅钱都花在这上面了是吧[笑哭],2,real,0.6127745950670455,正,陈述,0.67
BV18HTD61EXk,1783412291,3,不渡夏风,有300万人玩就不错了,0,real,0.9457658292871004,正,陈述,0.284
BV18HTD61EXk,1783328829,4,糜鹿c,30多岁老登路过...看完想尝尝这游戏咸淡,0,real,0.8699657342397812,正,陈述,0.466
BV18HTD61EXk,1783314981,10,犹豫的人爱啊,Alan Walker居然没有把人声压掉。,0,real,0.03139647122771749,负,陈述,0.524
BV1vNTU6UEHw,1783346801,304,Hakurei_靈梦,杰克的风评确实好过头了，按照某些人说的，拿过s冠，有过高光。那我就要说了，圣枪哥S11冠军，被叫成圣杯哥、大师、圣仓哥、玉小刚，ViperS11冠军，发挥差的时候被贬得一无是处，说不如elk。杰克呢？创造历史，输欧美，输越南，年年外战当陀螺，还能因为所谓的“有过高光，性格伟大”享受这么好的风评,10,real,0.9999990464505804,正,提问,0.914
BV1vNTU6UEHw,1783346830,173,obenic,尿大哥你尿道疼不疼😖😭越南老兵撸两次了我心疼😖,2,real,0.008693358734530254,负,陈述,0.757
BV1vNTU6UEHw,1783314724,298,不给植物人浇水,最近两年，占着lpl前三的位置，出征世界赛，凭着签运，跌跌撞撞走到四强，三比零给T1擦鞋底，猛猛擦，擦的干干净净。我臆想一波，T1打完tes会不会在想，这是哪来的路边一条。再说今年的msi，打个G2被让二追三，输了也就输了，已经习惯了，但是看完hle打G2，真就踹路边一条似的，我又难受上了，打tes一个让二追三的G2，被人家当路边一条踹了，你tes是得多菜啊，在说你打越南捞比，我都没想过会输，我在想着tes这次又给T1贡献个啥外战成绩，比去年三把时间再短点？好家伙，你连越南捞比都没打过，我。。。最后说一句，这是lpl二号种子啊，难道lpl要完了吗？,13,real,0.9870046809136684,正,提问,0.913
BV1vNTU6UEHw,1783318575,587,乃木坂十年白推,歌全让滔博唱了 架全给blg打了 如果最后没拿冠军 骂又全给blc挨了 这世道,27,real,0.03209935398798769,负,建议,0.961
BV1vNTU6UEHw,1783321212,226,会走路的火苗苗,naiyou:到现在为止，还有人以为我在联赛打假赛是为了钱？,10,real,0.6870442084992654,正,提问,0.893
BV1vNTU6UEHw,1783312474,1498,尝试成为狗托的吕树,滔博真得给突然的陀螺磕一个了。现在tes拉坨大的大伙都发一句“听见你说”就当骂完了，再听点up们出的歌这事也就忘了。这要放以前[汤圆],23,real,0.011325067449777682,负,陈述,1.0
BV1vNTU6UEHw,1783300499,18530,Charlotte崔镇定,这几天逛b站的我们[doge],153,real,0.6399554627001249,正,陈述,0.75
BV1vNTU6UEHw,1783408587,40,色颜QAQ,这才几天 就221w播放量？单曲之王:滔博,1,real,0.5687553035902139,中,提问,0.619
BV1vNTU6UEHw,1783337633,186,花落自有花開日,我说句公道话啊，这比赛让一个乐队出去打就不对,14,real,0.650463355769905,正,陈述,0.745
BV1vNTU6UEHw,1783353063,213,-直角-,终于知道为什么诗人被贬之后都要写诗了，因为我看到屏幕上的5个大贬，也想诗[笑哭],2,real,0.9996326296452706,正,提问,0.888
BV1kmT16pEhL,1783258725,443,FLSDDT,[阴险],17,real,0.1428571428571429,负,陈述,0.508
BV1kmT16pEhL,1783263770,86,清蒸天堂,"泛哥哥又搞抽象
四月有什么好番
求求真心值得一看",11,real,0.9498041908029824,正,提问,0.723
BV1kmT16pEhL,1783264150,142,藤圆蛋糕,（透露自己资历）（贬低近年新番）（释放催泪瓦斯[笑哭]）,2,real,0.5545083898087125,中,陈述,0.826
BV1kmT16pEhL,1783262892,75,紫罗兰の流离,看到up也在喷春夏秋冬那看来并非我的问题了，前中期还是挺好看的，但奈何回忆一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有一直有，还tm不同视角回忆，但回忆过程和结果一模一样，真的典型的卖惨番，有一点我一直想说了，你们有没有发现春夏秋冬这部番角色的眼睛经常会崩，像rz一样,0,real,0.9999877651943658,正,提问,0.813
BV1kmT16pEhL,1783260729,1507,doubleYuk1,那我缺的“哈喽大家好这里是泛式”谁给我补啊[委屈],7,real,0.727043892343354,正,陈述,0.917
BV1kmT16pEhL,1783260590,52,厄夜惊雷,居然不介绍库兹马吗？小众哥吃独食了,0,real,0.3967662632371387,负,提问,0.571
BV1kmT16pEhL,1783266335,43,存稿君同志,好漫长的一期啊，我有一种耳朵都听累了的错觉,0,real,0.7736793971308187,正,陈述,0.624
BV1kmT16pEhL,1783259470,243,畔美岬,温馨提示：除了少数几部外，该视频里提的越少的番越好看，没错，就是那些一句话带过的,6,real,0.9366494577312905,正,陈述,0.898
BV1kmT16pEhL,1783306913,143,埃维金人保护协会,"纯路人：re0的男主嬷嬷太恐怖了😰
：咋啦这是？你看到啥了？
纯路人：［图片］
：这是原文",2,real,0.9222047835591601,正,提问,0.86
BV1kmT16pEhL,1783267005,4036,小家辉猫,坦坦荡荡见自己[doge],20,real,0.31406725628432997,负,陈述,0.717
BV1sETy6WEZc,1783332792,189,MoonHalo渡尘,你给字节交钱了吗？盗用人家的香蕉猫专利[doge][doge][doge],8,real,0.5408630004762269,中,提问,0.88
BV1sETy6WEZc,1783392344,2588,蛋炒-土豆丝,有些小说里鬼能打过阴差就离谱，就像杀猪的突然被案板上的死猪给干死了,35,real,0.032670570052734216,负,陈述,1.0
BV1sETy6WEZc,1783322358,457,Chrisia-Dolan,[doge]小心被告,34,real,0.03665130844278808,负,陈述,0.61
BV1sETy6WEZc,1783351095,545,所有玩家之一,"你要是能活着时候去地府，你也能混个编制，只要不是大奸大恶之徒
因为活人进地府属于地府工作失误，他们肯定会想办法的去补偿这件事儿",17,real,0.0003113600505305625,负,陈述,0.956
BV1sETy6WEZc,1783347381,1727,ObviousQ,这别墅确实闹鬼，哪有楼梯是这样的,7,real,0.6795956297699148,正,陈述,0.767
BV1sETy6WEZc,1783387247,322,落花风雨春意晚,抓一只只有一两百就算了，还TM是计件，这劳务派遣[笑哭],3,real,0.8783811079347168,正,陈述,0.885
BV1sETy6WEZc,1783297540,1982,亚大妈QVQ,"开局：坐电梯意外落地府，习得阴阳本领当牛马
结局：我将终结灵异时代",21,real,0.9999940456791129,正,夸奖,1.0
BV1sETy6WEZc,1783332209,2949,某二阶堂神秘伪证女,看到电梯上去两个人超载应激了,27,real,0.09188841689373117,负,陈述,0.733
BV1sETy6WEZc,1783388354,152,溯玉词,疑似彩票店暗广,2,real,0.12136784661622435,负,陈述,0.481
BV1sETy6WEZc,1783322950,173,月亮湾湾-OVO-,没中奖那两回应该是和柳如烟收钱了，所以抵消了就没中奖吧,4,real,0.01894058380399888,负,建议,0.823
BV1ghMK6REtX,1783292310,148,越清绝,这不是剧本我吃，航天能凑齐九个啥子只有演员,3,real,0.9240163955262504,正,陈述,0.712
BV1ghMK6REtX,1783237298,274,蓝梦什么都做不到,剧本，根据三角洲的匹配逻辑只要这把有人带双枪拿狙那么肯定也会匹有狙或者连狙的对手，但对面一个狙都凑不出来。然后就是去牢三开桥，非得挑一个对面可以直架而且没有掩体路又宽又平自己也不给烟然后一个一个上。你说露娜的大其他队看不到，那你露娜电箭手雷和队友的道具呢？真的是侮辱观众智商,16,real,0.9999846071855857,正,提问,0.906
BV1ghMK6REtX,1783241329,124,睡不醒的小U,你自己看那个红狼手炮，都不敢对着主播打，露娜手雷电箭一个都没用，就疾风用了刺，最后几个人不往前冲原地左右跑除了被抽有什么用？你要说乌合之众没配合，那看人死的差不多了不应该直接跑路么？而且非要开桥打，三队人没有一点信息沟通的情况下，是怎么做到整齐划一的从总裁跑到牢区开桥的。不管是从桥下走滑索还是从后侧楼梯或者走码头，就算牢区开吊桥封烟也不是不能打。再说了主播能一个人杀三队人的水平，匹配到的绝密航天的强度连把狙也没有，道具也不会用，对枪也打不中？能不能带点脑子看视频。这不是剧本我吃。,2,real,0.00031638114634435777,负,提问,0.849
BV1ghMK6REtX,1783274690,32,战意电竞魔王护小财,不是演的话对面什么唐比，绝航不带狙，因为一个哈德森卫队走牢三不觉得太牵强了吗，编也给我编好了呀。有那功夫绕东吊卫队早特么走远了。,1,real,0.45676852167370086,中,陈述,0.753
BV1ghMK6REtX,1783241763,56,凌世辰,这么明显是撞车吗？还有人信这是真的，都不说现在还有没有三队能组到一块去，被桥上挑衅了一下就如此默契的全部跑去打桥，然后还跟葫芦娃救爷爷一样，一队一队送，有3个风衣不封烟冲，是把观众当成傻子了吗？,0,real,0.8777545761948722,正,提问,0.793
BV1ghMK6REtX,1783331567,706,智慧电影了凡四训传甲,那桥上恶意组队八个堵桥的咋办？蓝室还有俩蹲闸比特,13,real,0.35666343111434606,负,提问,0.875
BV1ghMK6REtX,1783331555,2082,智慧电影了凡四训传甲,堵桥本身就是官方承认的正常玩法，每次进入游戏下方小提示有：优势地形就在那，你不去，敌人就去占领了,11,real,0.9758719874449893,正,陈述,1.0
BV1ghMK6REtX,1783267216,83,茶雾晨薇,九个人凑不出一把狙，巡飞弹没一个人打，侦查位就一个露娜，道具跟要钱一样，完全不像航天全装队该有的强度，疑点太多了感觉像自建房,5,real,0.8801111805224268,正,陈述,0.821
BV1ghMK6REtX,1783263488,2452,手舞石上月,堵桥本身就是官方承认的正常玩法，每次进入游戏下方小提示有：优势地形就在那，你不去，敌人就去占领了,17,real,0.9758719874449893,正,陈述,1.0
BV1ghMK6REtX,1783274302,16,为了欢笑为了流泪,"剧本很烂，全局一共一根电箭，一根电刺是往正确的地方放的。因为是个人都知道放两个道具乌鲁鲁架都架不了只能跑路。然后就是上的人永远在上桥跳对着天空乱开两枪。连一个预瞄打一梭子的都没有，就生怕打到乌鲁鲁。

最后剧本装正常对局最后还不说的☀wei一辈子",0,real,0.00115432160184481,负,吐槽,0.705
BV1K1Tf6AEhN,1783231911,324,鳖载着礼法典,（说了一些感人肺腑的话）,11,real,0.3574382947865177,负,陈述,0.619
BV1K1Tf6AEhN,1783216650,253,乃琳今天嘬贝拉,我看有人不理解up在干啥，我给大家举个例子，你小时候有一台收音机，陪你度过了童年，长大了你有了能力修理这台坏掉的承载你童年的收音机，尽管它不像小时候那样是唯一的娱乐方式，米还是不辞辛劳，一遍又一遍的修理，直到它到达你认为的最好状态,5,real,0.9999405718827634,正,陈述,0.901
BV1K1Tf6AEhN,1783148183,23276,黄昏之一疯,我曾听古代贤明的君子说过，水井里的污泥不清除，喝水的人就会生病。清理水井的人，从早忙到晚，他做的不仅是去除污秽，也是在修养自己的心性。或许会有人问：“清理水井很辛苦吧？”他却能回答说：“辛苦的是身体，但内心安宁。浊水去掉了，清水就来了，就像仁德之人感化他人一样。每一瓢水、每一次汲取，都是天地的明镜，怎么会因为流汗而感到羞耻呢？”,1166,real,0.9996926528305671,正,提问,1.0
BV1K1Tf6AEhN,1783218368,176,浅屿qvq,突然想到了一件事，古井之所以这么深，就像是像up这样的人，一代一代去修复它。见到很深的古井时，就总觉得这些人了不起，挖这么深，现在又突然觉得好像是一代又一代人的接力[星星眼]（仅个人观点）,2,real,0.999995010955714,正,陈述,0.875
BV1K1Tf6AEhN,1783220065,818,_七月望_,难怪说吃水不忘挖井人呢，这个视频看着都要把人累死了[笑哭],6,real,0.6496165390720016,正,陈述,0.969
BV1K1Tf6AEhN,1783352118,115,七月雪下九月泪,在不知道多久之前也有一个人打量着这块地方想到：“也许在这里挖一口井乡亲们会方便不少。”,1,real,0.9500299454037899,正,陈述,0.844
BV1K1Tf6AEhN,1783298493,155,月出溪路静,这个说成为打卡景点的弹幕，何意味？up主千辛万苦的修理整顿这口井，弄成网红打卡点又被那些没素质的网红丢垃圾污染了？啥地方都能当打卡点了？,2,real,9.906477422949589e-05,负,提问,0.865
BV1K1Tf6AEhN,1783232137,3575,蓝天里的小页数,我举报了视频和评论区里所有不友善、引战评论和不友善弹幕,58,real,0.8853304350513429,正,陈述,0.95
BV1K1Tf6AEhN,1783425492,183,_SRT霞泽美游,up主不惜辛苦、不顾小人乱语袭击而独自修好古井，这人能处啊！俺欣赏他。,4,real,0.9919782330792011,正,陈述,0.877
BV1K1Tf6AEhN,1783273000,41,玉玉是gay,"“爷爷，为什么我们要经常来清理这口井啊？”
“因为井一旦长期不打扫，就断了根喽，和你一样大的小朋友，就不会来这井洗手，长大离开这里去大城市闯荡也就不会记得了。”
“这口井不打扫会很脏吗？”
“嗯，很脏。”
“有多脏？”
“…你看看这段视频”
（爷爷掏出用了好几年的iPhone78promax，打开b站找到了视频给孙子看，爷俩席地而坐，身旁不远处就是井水）
“这样太脏了吧？这人要是能清理干净我叫他一声爷”孙子惊呼道。
爷爷没有回应，默默的盯着屏幕。
中间无话，边随着孙子愈发明亮的眼睛，时间缓缓流逝到了视频末尾。
“哇！这人也太厉害了吧！居然能把这么脏水井弄的这么好。”孙子感叹道。
“这井就是咱们身边的这口井。”
‘！！！视频里这个人是谁，我怎么没见过？在村里他现在年纪应该已经很大了吧，我是不是见到他改管他叫爷爷了’
‘该叫的人是我’
2026年7.5日，鄙人见此人打扫水井，心发感慨，觉天地之广大，人生不过百年，不应困于樊笼，应当回馈自然，扫井以静心，排污以去浊，造方寸净水，予后人以观，此为人生之意义。倘洁境之行能广见于世、绵延千秋，则举目无杂山河净，满目皆是金银山。b站up主，有能独身清淤井者，吾观之甚好，顿感应效仿，留善举于世、于后人，故留字予以后人闻",2,real,0.9999999999999996,正,提问,0.771
BV1WdTS6eECV,1783311576,8129,齐陵云,"制作人/编曲/作曲/混音/母带：余宗儒
“年轻人就是要 炸！”[doge]",63,real,0.9994071825708891,正,陈述,1.0
BV1WdTS6eECV,1783314414,5618,闲云不是猫,"吾乃邦斯塔特，挽昼的告死天使！
以极限邦布之主诺姆之名，为了罗斯凯利法！",102,real,0.1714437047307542,负,陈述,1.0
BV1WdTS6eECV,1783315291,2789,人活着为了符华啊,我就说根本没有风属性，纯属维琳娜劲大，拿把铁扇子扇出来风大，硬说自己风属性。[笑哭],27,real,0.07939424848338261,负,陈述,1.0
BV1WdTS6eECV,1783322439,1993,白叶墨羽,没错，一切为了六分街！为了绳匠！,21,real,0.4295818243094618,中,陈述,0.767
BV1WdTS6eECV,1783312512,1728,HMH717,还有伊斯特凡五号战役—罗斯凯利法版,9,real,0.9466333891228232,正,陈述,0.783
BV1WdTS6eECV,1783313927,1742,瓶中星云梦,"梗含量太多了，除开已经明牌的极限战布，后面传送带上的小黄(人)布，waaaagh布斯，香蕉(君)布，还有银魂的伊丽莎白布，那个小不点不清楚了。
不过有一个可能没人注意到的就是1:15三个在桌子上跳舞的邦布实际上就是蜡笔小新的屁股舞。",25,real,0.005261228527168371,负,陈述,1.0
BV1WdTS6eECV,1783314031,1317,繁羽disaster,"《诺姆大叛乱》
那么，战争就此开启——从六分街录像店直至罗斯凯利法。让外环沸腾！让卫非地陨落！纵使流尽邦布体内最后一格电，我也要亲眼见证新艾利都重获自由。倘若我终究无法得到你的经费批准，维琳娜……那就让整片新艾利都燃烧吧！",19,real,0.9997069138691836,正,陈述,1.0
BV1WdTS6eECV,1783311982,2705,盧盧盧-,一个赞用一天头像[喜欢],26,real,0.8009513186934794,正,陈述,0.7
BV1WdTS6eECV,1783319608,1226,无糖的鸦可,老大，原来不止有猫猫头战帮呀，兔兔头战帮也有。,6,real,0.9160705029320709,正,陈述,0.883
BV1WdTS6eECV,1783310988,1059,画___风,电音是对的！！！[加油][加油][加油],41,real,0.9938653203697697,正,陈述,0.833
BV1ryTC62EQQ,1783315570,555,爱吃奶酪的小狐,ringo已探索中国部分：0.0001%,3,real,0.9759316883796482,正,陈述,0.791
BV1ryTC62EQQ,1783310268,745,玲琳雪露,"米哈游拒绝了Ringo的简历投递可能是因为画风不符合他们的要求吧，但是塞翁失马焉知非福呢
比起在大厂做个员工画原创还更有趣，更为人所知[汤圆]",8,real,0.6585530526720164,正,提问,0.979
BV1ryTC62EQQ,1783311412,9421,10_-弩拓-_01,Ringo拿了奖是不是可以变成金苹果了[Cat2_Watching!],132,real,0.7906023041533355,正,陈述,1.0
BV1ryTC62EQQ,1783312784,517,王泓橙,赢了比赛的Ringo:[doge][doge][doge],5,real,0.8587380414712886,正,陈述,0.936
BV1ryTC62EQQ,1783311011,648,是条滑光仔,Sorry🍎 第一眼看成地球被苹果举起了… [UPOWER_3546929608788700_苹果what],3,real,0.9983113869172602,正,陈述,0.969
BV1ryTC62EQQ,1783309881,3158,猫猫寻LI,人群中一眼望到轰[笑哭],31,real,0.8957313824208359,正,陈述,0.7
BV1ryTC62EQQ,1783413657,419,bili_27471825143,我不行了，YouTube上的播放量没b站上高,14,real,0.3688469111252346,负,吐槽,0.804
BV1ryTC62EQQ,1783309770,3619,夫克雷雷,中午啦大家，,35,real,0.37378640776699057,负,陈述,0.6
BV1ryTC62EQQ,1783312967,3889,王泓橙,"哇啊啊，Henry和Ringo 是一对情侣
他们有两个纯爱
台下观众欣喜若狂.....",71,real,0.9946452218418214,正,陈述,1.0
